#      
#   DShield.org Recommended Block List 
#    (c) 2017 DShield.org
#   some rights reserved. Details http://creativecommons.org/licenses/by-nc-sa/2.5/
#   use on your own risk. No warranties implied.
#   primary URL: http://feeds.dshield.org/block.txt
#     PGP Sign.: http://feeds.dshield.org/block.txt.asc
#
#   comments: info@dshield.org
#    updated: Tue May 30 14:15:05 2017 UTC
#   
#    This list summarizes the top 20 attacking class C (/24) subnets
#   over the last three days. The number of 'attacks' indicates the 
#   number of targets reporting scans from this subnet.
#
#
#    Columns (tab delimited):
#
#    (1) start of netblock  
#    (2) end of netblock
#    (3) subnet (/24 for class C)
#    (4) number of targets scanned
#    (5) name of Network 
#    (6) Country
#    (7) contact email address
#
#    If a range is assigned to multiple users, the first one is listed. 
#     
Start	End	Netmask	Attacks	Name	Country	email
91.223.133.0	91.223.133.255	24	1647	NO_N	ZZ	no email on file
185.35.62.0	185.35.62.255	24	1517	KS-ASN1 This ASN is used for Internet security research. Internet-scale port scanning activities are launched from it. Don_t hesitate to contact portscan@nagra.com would you have any question.,	CH	abuse@nagra.com
80.82.77.0	80.82.77.255	24	1434	QUASINETWORKS ,	NL	abuse@quasinetworks.com
60.191.38.0	60.191.38.255	24	1426	CHINANET-BACKBONE No.31,Jin-rong Street,	CN	anti-spam@ns.chinanet.cn.net
89.248.172.0	89.248.172.255	24	1399	QUASINETWORKS ,	NL	abuse@quasinetworks.com
74.82.47.0	74.82.47.255	24	1382	HURRICANE - Hurricane Electric, Inc.,	US	abuse@he.net
45.55.4.0	45.55.4.255	24	1362	DIGITALOCEAN-ASN - Digital Ocean, Inc.,	US	abuse@digitalocean.com
141.212.122.0	141.212.122.255	24	1308	UMICH-AS-5 - University of Michigan,	US	abuse@umich.edu
180.97.106.0	180.97.106.255	24	1305	CHINANET-BACKBONE No.31,Jin-rong Street,	CN	anti-spam@ns.chinanet.cn.net
204.42.253.0	204.42.253.255	24	1292	NTT-COMMUNICATIONS-2914 - NTT America, Inc.,	US	abuse@ntt.net
104.193.252.0	104.193.252.255	24	1292	HOSTING-SOLUTIONS - Hosting Solution Ltd.,	US	abuse@king-servers.com
64.125.239.0	64.125.239.255	24	1267	ZAYO-6461 - Zayo Bandwidth Inc,	US	abuse@zayo.com
71.6.146.0	71.6.146.255	24	1212	CARINET - CariNet, Inc.,	US	complaints@cari.net
89.248.167.0	89.248.167.255	24	1201	QUASINETWORKS ,	NL	abuse@quasinetworks.com
183.129.160.0	183.129.160.255	24	1108	CHINANET-BACKBONE No.31,Jin-rong Street,	CN	anti-spam@ns.chinanet.cn.net
93.174.95.0	93.174.95.255	24	1098	QUASINETWORKS ,	NL	abuse@quasinetworks.com
119.249.54.0	119.249.54.255	24	1034	CHINA169-BACKBONE CNCGROUP China169 Backbone,	CN	zhouxm@chinaunicom.cn
106.75.18.0	106.75.18.255	24	1032	CHINA169-BJ China Unicom Beijing Province Network,	CN	zhouxm@chinaunicom.cn
94.102.49.0	94.102.49.255	24	1013	QUASINETWORKS ,	NL	abuse@quasinetworks.com
104.236.190.0	104.236.190.255	24	1011	DIGITALOCEAN-ASN - Digital Ocean, Inc.,	US	abuse@digitalocean.com
